                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.1564,                0.88257,                 1.1398,                0.21185,                0.16807,                0.08874,                0.03308,                 2.7033,                  2.325,                 1.9023,              0.0009605,              0.0009605,              0.0009605
                    107,                  1.206,                0.94436,                 1.1665,                0.16788,                0.14286,                 0.0735,                0.03041,                  2.713,                 2.4369,                 1.8861,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.1664,                0.93269,                  1.161,                0.13234,                0.15126,                0.07227,                0.02983,                 2.6413,                 2.4158,                 1.7829,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.1455,                0.90557,                 1.1449,                0.22205,                0.15126,                0.10276,                0.03214,                 2.4861,                 2.4017,                 1.7638,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.1834,                0.90188,                 1.1432,                0.11888,                0.13445,                0.06107,                 0.0211,                 2.5122,                 2.7631,                 1.7684,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.2436,                0.94396,                 1.1502,                0.24899,                0.17647,                0.10452,                0.03861,                 2.4732,                 2.5073,                 1.7389,               0.000911,               0.000911,               0.000911
                    112,                 1.1414,                0.89284,                 1.1419,                0.19728,                0.21849,                0.10144,                0.03887,                 2.4616,                 2.3904,                 1.7252,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.2212,                0.93054,                 1.1631,                0.13707,                0.13445,                0.07451,                0.02886,                 2.6529,                 2.5156,                 1.8066,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.2225,                0.95639,                 1.1722,                 0.1298,                0.09528,                0.05521,                0.01822,                 2.5635,                 2.6134,                 1.7627,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.1078,                 0.8799,                 1.1164,                0.20707,                0.13445,                0.07739,                0.02445,                 2.6869,                 2.5591,                 1.8186,              0.0008714,              0.0008714,              0.0008714
                    116,                   1.17,                0.90697,                 1.1405,                0.19765,                0.13445,                0.08639,                0.03368,                 2.6038,                 2.7091,                  1.714,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.1171,                0.86975,                 1.1237,                0.17475,                0.14286,                0.08763,                0.03265,                 2.5857,                 2.5436,                 1.7539,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.1557,                0.89203,                 1.1393,                0.20551,                0.14286,                0.07968,                0.03005,                 2.5867,                 2.5681,                 1.7958,              0.0008417,              0.0008417,              0.0008417
